popularity,original_title,vote_average,release_year,budget_adj,revenue_adj,roi,gen1,gen2,gen3,gen4,gen5,ryear_ord
32.985763,Jurassic World,6.5,2015,137999939.3,1392445893.0,909.02,Action,Adventure,Science Fiction,Thriller,,2010s
28.419936,Mad Max: Fury Road,7.1,2015,137999939.3,348161292.5,152.29,Action,Adventure,Science Fiction,Thriller,,2010s
13.112507,Insurgent,6.3,2015,101199955.5,271619025.4,168.4,Adventure,Science Fiction,Thriller,,,2010s
11.173103999999999,Star Wars: The Force Awakens,7.5,2015,183999919.0,1902723130.0,934.09,Action,Adventure,Science Fiction,Fantasy,,2010s
9.335014,Furious 7,7.3,2015,174799923.1,1385748801.0,692.76,Action,Crime,Thriller,,,2010s
9.1107,The Revenant,7.2,2015,124199945.4,490314247.0,294.78,Western,Drama,Adventure,Thriller,,2010s
8.654359,Terminator Genisys,5.8,2015,142599937.3,405355075.7,184.26,Science Fiction,Action,Thriller,Adventure,,2010s
7.6674,The Martian,7.6,2015,99359956.28,547749654.3,451.28,Drama,Adventure,Science Fiction,,,2010s
7.404164999999999,Minions,6.5,2015,68079970.04,1064192017.0,1463.15,Family,Animation,Adventure,Comedy,,2010s
6.326804,Inside Out,8.0,2015,160999929.2,785411574.7,387.83,Comedy,Animation,Family,,,2010s
6.200282,Spectre,6.2,2015,225399900.8,810220283.8,259.46,Action,Adventure,Crime,,,2010s
6.189369,Jupiter Ascending,5.2,2015,161919931.5,169268630.7,4.54,Science Fiction,Fantasy,Action,Adventure,,2010s
6.118847,Ex Machina,7.6,2015,13799993.93,33919845.96,145.8,Drama,Science Fiction,,,,2010s
5.984995,Pixels,5.8,2015,80959964.38,224146025.1,176.86,Action,Comedy,Science Fiction,,,2010s
5.944927,Avengers: Age of Ultron,7.4,2015,257599886.7,1292632337.0,401.8,Action,Adventure,Science Fiction,,,2010s
5.8984,The Hateful Eight,7.4,2015,40479982.19,143299244.6,254.0,Crime,Drama,Mystery,Western,,2010s
5.749758,Taken 3,6.1,2015,44159980.57,299709578.2,578.69,Crime,Action,Thriller,,,2010s
5.5731839999999995,Ant-Man,7.0,2015,119599947.4,477113780.0,298.92,Science Fiction,Action,Adventure,,,2010s
5.556818,Cinderella,6.8,2015,87399961.54,498963025.2,470.9,Romance,Fantasy,Family,Drama,,2010s
5.476958,The Hunger Games: Mockingjay - Part 2,6.5,2015,147199935.2,598481289.5,306.58,War,Adventure,Science Fiction,,,2010s
5.4621379999999995,Tomorrowland,6.2,2015,174799923.1,192312729.9,10.02,Action,Family,Science Fiction,Adventure,Mystery,2010s
5.337064,Southpaw,7.3,2015,27599987.86,84373003.72,205.7,Action,Drama,,,,2010s
4.907832,San Andreas,6.1,2015,101199955.5,432851375.0,327.72,Action,Drama,Thriller,,,2010s
4.710401999999999,Fifty Shades of Grey,5.3,2015,36799983.81,524079119.0,1324.13,Drama,Romance,,,,2010s
4.648046,The Big Short,7.3,2015,25759988.67,122678731.5,376.24,Comedy,Drama,,,,2010s
4.566713,Mission: Impossible - Rogue Nation,7.1,2015,137999939.3,627743451.7,354.89,Action,,,,,2010s
4.5645489999999995,Ted 2,6.3,2015,62559972.47,198594430.1,217.45,Comedy,,,,,2010s
4.503789,Kingsman: The Secret Service,7.6,2015,74519967.21,371497801.7,398.52,Crime,Comedy,Action,Adventure,,2010s
4.062293,Spotlight,7.8,2015,18399991.9,81278719.4,341.73,Drama,Thriller,History,,,2010s
3.968891,Maze Runner: The Scorch Trials,6.4,2015,56119975.31,286356245.9,410.26,Action,Science Fiction,Thriller,,,2010s
3.899557,Chappie,6.6,2015,45079980.16,93903685.24,108.3,Crime,Action,Science Fiction,,,2010s
3.877764,Pitch Perfect 2,6.8,2015,26679988.26,264505582.1,891.4,Comedy,Music,,,,2010s
3.6482099999999997,Bridge of Spies,7.1,2015,36799983.81,149601569.3,306.53,Thriller,Drama,,,,2010s
3.6445410000000003,Goosebumps,6.2,2015,53359976.52,138157089.0,158.92,Adventure,Horror,Comedy,,,2010s
3.557846,Room,8.0,2015,5519997.571,32569603.03,490.03,Drama,Thriller,,,,2010s
3.3391349999999997,The Good Dinosaur,6.6,2015,160999929.2,305371920.9,89.67,Adventure,Animation,Comedy,Family,Fantasy,2010s
3.23737,Run All Night,6.3,2015,45999979.76,65836683.51,43.12,Action,Crime,Drama,Mystery,Thriller,2010s
3.227329,Brooklyn,7.3,2015,10119995.55,57110024.59,464.33,Drama,Romance,,,,2010s
3.2027189999999996,Straight Outta Compton,7.7,2015,25759988.67,185504110.1,620.12,Drama,Music,,,,2010s
3.080505,The Last Witch Hunter,5.6,2015,82799963.57,129164861.2,56.0,Fantasy,Action,Adventure,,,2010s
3.0795220000000003,Steve Jobs,6.9,2015,27599987.86,31686509.22,14.81,History,Drama,,,,2010s
3.0534209999999997,The Man from U.N.C.L.E.,7.0,2015,68999969.64,99493456.5,44.19,Comedy,Action,Adventure,,,2010s
3.025852,The Age of Adaline,7.3,2015,22999989.88,39219376.66,70.52,Fantasy,Drama,Romance,,,2010s
3.023253,Hardcore Henry,5.9,2015,9199995.952,13187081.0,43.34,Action,Adventure,Science Fiction,,,2010s
2.976436,Home,6.9,2015,124199945.4,339361177.1,173.24,Fantasy,Comedy,Animation,Science Fiction,Family,2010s
2.968254,Paper Towns,6.2,2015,11039995.14,78671281.38,612.6,Drama,Mystery,Romance,,,2010s
